,title,post_url,main_category,sub_category,date
0,Admin 페이지 개발,https://wefree.tistory.com/316,개인프로젝트,,2023-09-01 14:06:57
1,Tips,https://wefree.tistory.com/315,python,응용,2023-08-20 18:58:21
2,Generators in python,https://wefree.tistory.com/314,python,응용,2023-08-20 17:47:48
3,랜덤 포레스트 & 랜덤 서치,https://wefree.tistory.com/313,머신러닝(+딥러닝),,2023-08-10 19:52:51
4,확률적 경사 하강법 (+ 로지스틱 회귀),https://wefree.tistory.com/312,머신러닝(+딥러닝),,2023-08-08 17:43:27
5,릿지 회귀,https://wefree.tistory.com/311,머신러닝(+딥러닝),,2023-08-08 16:41:32
6,sklearn 으로 학습한 모델을 파일로 저장하기,https://wefree.tistory.com/310,머신러닝(+딥러닝),,2023-08-08 15:15:59
7,Pydantic 으로 dataclass 대체하기,https://wefree.tistory.com/309,python,응용,2023-07-29 22:13:56
8,Eval and Trampolining,https://wefree.tistory.com/308,scala,cats2,2023-07-29 11:43:20
9,VIEW,https://wefree.tistory.com/307,postgresql,,2023-07-28 18:03:46
10,CHECK constraint (when create table),https://wefree.tistory.com/305,postgresql,,2023-07-28 17:38:15
11,Timestamp and Extract,https://wefree.tistory.com/304,postgresql,,2023-07-28 17:23:00
12,like / ilike / as,https://wefree.tistory.com/302,postgresql,,2023-07-27 18:38:27
13,외부 데이터 import 하기,https://wefree.tistory.com/300,postgresql,,2023-07-27 16:32:00
14,PostgreSQL 소개,https://wefree.tistory.com/298,postgresql,,2023-07-27 15:42:53
15,fibonacci 수열 구현하기,https://wefree.tistory.com/296,akka & pekko,streams,2023-07-26 18:23:09
16,stream 처리 완료 후 ActorSystem 종료하기,https://wefree.tistory.com/295,akka & pekko,streams,2023-07-22 18:03:04
17,Akka TestProbes,https://wefree.tistory.com/294,akka & pekko,actors,2023-07-18 16:55:21
18,Akka Test,https://wefree.tistory.com/293,akka & pekko,actors,2023-07-18 16:30:28
19,Request & URI,https://wefree.tistory.com/292,scala,sttp,2023-07-18 15:09:03
20,Akka Config,https://wefree.tistory.com/291,akka & pekko,actors,2023-07-17 19:53:26
21,Akka Logging,https://wefree.tistory.com/290,akka & pekko,actors,2023-07-17 19:40:59
22,Child Actor,https://wefree.tistory.com/289,akka & pekko,actors,2023-07-17 18:23:55
23,Behavior control (become / unbecome),https://wefree.tistory.com/288,akka & pekko,actors,2023-07-17 17:13:51
24,Messages and Behavior,https://wefree.tistory.com/287,akka & pekko,actors,2023-07-17 13:23:38
25,Actor 생성,https://wefree.tistory.com/286,akka & pekko,actors,2023-07-17 11:15:04
26,akka actors 소개,https://wefree.tistory.com/285,akka & pekko,actors,2023-07-17 11:05:03
27,admin (multi-page) 화면 개발,https://wefree.tistory.com/284,plotly dash,,2023-07-15 19:46:15
28,functools.cache,https://wefree.tistory.com/283,python,응용,2023-07-13 19:05:36
29,pydantic: dictionary 를 object 로 변환 / json 출력,https://wefree.tistory.com/282,python,응용,2023-07-10 12:02:47
30,dataclass: sort,https://wefree.tistory.com/281,python,응용,2023-07-10 11:40:07
31,dataclass: mutable default values,https://wefree.tistory.com/280,python,응용,2023-07-09 17:19:00
32,functools.partial() 활용,https://wefree.tistory.com/279,python,응용,2023-07-07 21:37:12
33,airframe-control: Retry,https://wefree.tistory.com/278,scala,airframe,2023-07-06 17:11:53
34,airframe-control: Parallel,https://wefree.tistory.com/277,scala,airframe,2023-07-06 16:39:12
35,Tapir + Playframework,https://wefree.tistory.com/276,scala,playframework,2023-06-19 15:36:29
36,Advanced Callback,https://wefree.tistory.com/275,plotly dash,,2023-06-15 19:02:01
37,Anorm 기본 사용,https://wefree.tistory.com/274,scala jdbc,anorm,2023-06-13 18:37:15
38,Quill 기본 사용,https://wefree.tistory.com/273,scala jdbc,quill,2023-06-13 13:22:15
39,Currying,https://wefree.tistory.com/272,python,응용,2023-06-11 19:53:07
40,pydantic: Generics,https://wefree.tistory.com/271,python,응용,2023-05-28 22:29:07
41,jinja2 template 으로 Html 본문작성 후  이메일 보내기,https://wefree.tistory.com/270,python,응용,2023-05-27 20:29:28
42,자주하는 실수,https://wefree.tistory.com/269,python,,2023-05-07 21:03:04
43,create table with COLLATE,https://wefree.tistory.com/268,mysql,,2023-05-04 16:08:17
44,futils 소개,https://wefree.tistory.com/267,scala,futils,2023-04-28 12:05:28
45,"__slot__, __call__",https://wefree.tistory.com/266,python,응용,2023-04-10 23:42:18
46,yield from,https://wefree.tistory.com/265,python,응용,2023-04-10 20:46:10
47,2개 이상의 서비스를 실행하기,https://wefree.tistory.com/264,bash,,2023-04-03 13:49:56
48,ABC vs Protocol,https://wefree.tistory.com/263,python,응용,2023-04-01 20:36:45
